region,v
19001,-52.93310659203187
19003,-53.6992508337278
19005,-47.61834498389424
19007,-52.12357600801033
19009,-53.22757774438503
19011,-49.98001464
19013,-49.45358537667844
19015,-50.82590359383033
19017,-49.59286595564305
19019,-49.245905579369634
19021,-52.28069937160121
19023,-49.62009864333333
19025,-51.88270193465347
19027,-52.80979656526946
19029,-49.799801636949155
19031,-49.09293309138889
19033,-50.14837785240964
19035,-52.8706686501548
19037,-49.282414097826084
19039,-51.931116099004974
19041,-52.05830592234332
19043,-47.36588695882352
19045,-47.99484866842105
19047,-53.153064607975466
19049,-52.121137500424624
19051,-50.82399698031745
19053,-52.31552817298851
19055,-48.61754531685715
19057,-49.346466167035
19059,-51.74806075947137
19061,-47.12623623806452
19063,-50.57830753285198
19065,-48.66381341257607
19067,-49.70551053417266
19069,-50.11349719453125
19071,-54.88561519966997
19073,-52.12659597325103
19075,-50.37809157992279
19077,-52.7768852534202
19079,-51.18176453310105
19081,-50.260042810486894
19083,-50.449112469336384
19085,-51.40943270080214
19087,-50.5768846627027
19089,-48.536222829230766
19091,-51.257796701111104
19093,-52.85212595247525
19095,-49.58746881692308
19097,-43.92809107067138
19099,-50.9586860014553
19101,-50.78657425095891
19103,-49.24726200236843
19105,-48.905027723809525
19107,-50.00251498319328
19109,-50.91827030823529
19111,-50.34303647838284
19113,-48.97906007050428
19115,-49.186860240720215
19117,-51.98064743487031
19119,-52.539324701449274
19121,-52.053010940643276
19123,-50.37901735483871
19125,-50.529814048495574
19127,-50.70545353303371
19129,-54.43539895427632
19131,-49.45200932969925
19133,-53.426085353658536
19135,-50.60581756187683
19137,-53.88968485271967
19139,-48.59359129976958
19141,-52.557479529275355
19143,-52.265763718454934
19145,-54.08777405777778
19147,-51.601754233656955
19149,-53.32778051744472
19151,-50.97164778195488
19153,-51.65406313615928
19155,-53.945314854714475
19157,-49.298322473999995
19159,-52.427311616532265
19161,-52.53322090819672
19163,-48.57474015820735
19165,-53.45024970940767
19167,-53.09122289279731
19169,-51.45242850721003
19171,-49.48031822773722
19173,-53.70197682399999
19175,-53.21493217551867
19177,-50.76751865963542
19179,-50.339138749693255
19181,-51.91259272917467
19183,-50.37482820407124
19185,-51.456421784642856
19187,-51.22475765791506
19189,-49.94400733533835
19191,-48.44375776023856
19193,-53.123536239876536
19195,-49.90220110515021
19197,-50.261263389053255
